"","var1","var2","cor","p","case","participant_id"
"358","pm25_ratio","pm10_outdoor",-0.05,3.7e-05,"sham","41181"
"359","pm10_ratio","pm10_outdoor",-0.11,4.11e-19,"sham","41181"
"360","pm1num_ratio","pm10_outdoor",-0.029,0.0175,"sham","41181"
"361","pm1_indoor","pm1num_indoor",0.76,0,"sham","41181"
"362","pm1_outdoor","pm1num_indoor",0.34,1.18e-186,"sham","41181"
"363","pm25_indoor","pm1num_indoor",0.89,0,"sham","41181"
"364","pm25_outdoor","pm1num_indoor",0.33,1.93e-172,"sham","41181"
"365","pm10_indoor","pm1num_indoor",0.34,8.5e-179,"sham","41181"
"366","pm10_outdoor","pm1num_indoor",0.047,0.000114,"sham","41181"
"367","pm1num_indoor","pm1num_indoor",1,0,"sham","41181"
"368","pm1num_outdoor","pm1num_indoor",0.12,4.02e-24,"sham","41181"
"369","pm1_ratio","pm1num_indoor",0.16,2.21e-40,"sham","41181"
"370","pm25_ratio","pm1num_indoor",0.23,1.85e-84,"sham","41181"
"371","pm10_ratio","pm1num_indoor",0.08,4.86e-11,"sham","41181"
"372","pm1num_ratio","pm1num_indoor",0.72,0,"sham","41181"
"373","pm1_indoor","pm1num_outdoor",0.11,3.25e-19,"sham","41181"
