"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"188","RH","classroom","principal_s1","indoor",1717,1673,1805,1.07048349909166,-0.00210754942726782,3.74303754058671e-06,87.9374473750174,TRUE,132
"189","RH","classroom","principal_s1","indoor",1849,1805,1893,1.09302393963988,-0.00475757583810238,2.67034566782789e-07,44.5224978259868,TRUE,88
"190","RH","classroom","principal_s1","indoor",1937,1893,1981,1.27318731128193,-0.00435680993923803,1.42349741768679e-07,52.2792645311766,TRUE,88
"191","RH","classroom","principal_s1","indoor",2069,1981,2157,1.32017217150866,-0.00285656149240913,4.10299366246313e-07,106.474184115855,TRUE,176
"192","RH","classroom","principal_s1","indoor",2376,1601,2502,7.6132,-0.00158541065845277,1.2019872418647e-06,738.0533,FALSE,901
"193","RH","classroom","principal_s1","indoor",3037,2157,3653,3.33273865713883,-0.000879610688832059,2.13265896549735e-07,1514.02997876984,TRUE,1496
"194","RH","classroom","principal_s1","indoor",3785,3653,4005,1.78795452114254,-0.00235116617364912,1.89264547158723e-06,296.064756326946,TRUE,352
"195","RH","classroom","principal_s1","indoor",4093,4005,4137,1.24682770298214,-0.00192637444603962,3.12131755251784e-08,53.8258113357391,TRUE,132
"196","RH","classroom","principal_s1","indoor",4357,4137,4429,1.65575234436822,-0.00254729712576645,3.13970039149061e-06,115.472364342399,TRUE,292
"197","RH","classroom","principal_s1","indoor",76,1,401,10.1084,-0.00179680897660332,5.323528165984e-07,2269.3053,FALSE,400
"198","RH","classroom","principal_s1","indoor",177,1,309,11.7132672377645,-0.031347458513003,2.83593784078649e-06,417.781034692169,TRUE,308
"199","RH","classroom","principal_s1","indoor",397,309,485,2.50334344014408,-0.00703824450878066,5.84880213239091e-06,172.366533463042,TRUE,176
"200","RH","classroom","principal_s1","indoor",426,401,476,4.303,-0.00263844854998552,9.58856970416261e-06,201.4045,FALSE,75
